ID	population	condition	GC_pct	Five_Prime_Bias	library_batch	experiment_date	age	Pct_European_Ancestry
EIP@UDFICXQHVG-5	AFB	IAV	48.16	-0.128629728655893	1/9/14 16:03	10/31/13	29	1e-05
EIP@SPWKAUELYK-1	AFB	NS	49.55	-0.137470425967459	2/11/14 18:08	10/29/13	29	1e-05
EIP@SPWKAUELYK-3	AFB	PAM3CSK4	46.82	-0.162695566620354	2/6/14 14:20	10/29/13	29	1e-05
EIP@SPWKAUELYK-4	AFB	R848	48.15	-0.122862760802989	2/6/14 14:18	10/29/13	29	1e-05
EIP@SPWKAUELYK-5	AFB	IAV	47.37	-0.139491332413222	1/22/14 17:19	10/29/13	29	1e-05
EIP@HKTNZNHWVL-1	AFB	NS	49.19	-0.106445588206034	1/28/14 11:07	10/29/13	36	0.227522
EIP@HKTNZNHWVL-2	AFB	LPS	50.11	-0.155074313971849	1/9/14 16:03	10/29/13	36	0.227522
EIP@HKTNZNHWVL-3	AFB	PAM3CSK4	48.29	-0.115192730423767	1/9/14 16:03	10/29/13	36	0.227522
EIP@HKTNZNHWVL-4	AFB	R848	46.81	-0.172704915069645	1/22/14 17:19	10/29/13	36	0.227522
EIP@HKTNZNHWVL-5	AFB	IAV	47.68	-0.154768424507714	1/22/14 17:19	10/29/13	36	0.227522
EIP@RQAURVHFAB-1	AFB	NS	50.85	-0.0911581738116455	1/28/14 11:07	10/29/13	28	1e-05
EIP@RQAURVHFAB-2	AFB	LPS	51.02	-0.078057490680006	1/9/14 16:03	10/29/13	28	1e-05
EIP@RQAURVHFAB-3	AFB	PAM3CSK4	47.71	-0.16645751388689	1/13/14 17:48	10/29/13	28	1e-05
EIP@RQAURVHFAB-4	AFB	R848	47.03	-0.142987661646394	1/13/14 17:48	10/29/13	28	1e-05
EIP@RQAURVHFAB-5	AFB	IAV	49.71	-0.0871793456899662	1/9/14 16:03	10/29/13	28	1e-05
EIP@SMWPWJLRXL-1	AFB	NS	49.32	-0.140748061809972	2/11/14 18:08	12/10/13	35	1e-05
EIP@SMWPWJLRXL-3	AFB	PAM3CSK4	49.03	-0.140923104822236	 	12/10/13	35	1e-05
EIP@SMWPWJLRXL-4	AFB	R848	47.09	-0.156787238405415	2/6/14 14:18	12/10/13	35	1e-05
EIP@SMWPWJLRXL-5	AFB	IAV	47.81	-0.142646893455065	1/22/14 17:19	12/10/13	35	1e-05
EIP@YNWYVLKSHI-1	AFB	NS	48.22	-0.169302012776598	2/6/14 14:18	12/10/13	33	1e-05
EIP@YNWYVLKSHI-2	AFB	LPS	46.96	-0.18026166959864	1/22/14 17:19	12/10/13	33	1e-05
EIP@YNWYVLKSHI-3	AFB	PAM3CSK4	48.35	-0.141839189777467	2/11/14 18:08	12/10/13	33	1e-05
EIP@YNWYVLKSHI-4	AFB	R848	48.4152064614964	-0.120309801528239	2/11/14 10:14	12/10/13	33	1e-05
EIP@YNWYVLKSHI-5	AFB	IAV	48.57	-0.154028054595522	2/6/14 14:18	12/10/13	33	1e-05
EIP@MCCSLEQMNU-1	AFB	NS	49.67	-0.151281808794964	3/6/14 18:41	1/14/14	25	1e-05
EIP@MCCSLEQMNU-2	AFB	LPS	48.77	-0.129390362136413	3/7/14 9:07	1/14/14	25	1e-05
EIP@MCCSLEQMNU-3	AFB	PAM3CSK4	48.36	-0.129492473687915	3/11/14 15:48	1/14/14	25	1e-05
EIP@MCCSLEQMNU-4	AFB	R848	48.38	-0.119303158330642	3/7/14 9:07	1/14/14	25	1e-05
EIP@MCCSLEQMNU-5	AFB	IAV	47.56	-0.110212707335792	3/11/14 15:48	1/14/14	25	1e-05
EIP@HHLVSNGCLC-1	AFB	NS	49.6170356170657	-0.132724034756269	2/11/14 18:08	10/31/13	26	1e-05
EIP@HHLVSNGCLC-3	AFB	PAM3CSK4	48.21	-0.125821702335847	2/6/14 14:18	10/31/13	26	1e-05
EIP@HHLVSNGCLC-4	AFB	R848	47.73	-0.135952916974881	1/22/14 17:19	10/31/13	26	1e-05
EIP@HHLVSNGCLC-5	AFB	IAV	48.36	-0.111746639608046	2/11/14 10:14	10/31/13	26	1e-05
EIP@OSWGVHGFTN-1	AFB	NS	49.83	-0.119767463311111	3/6/14 18:41	1/14/14	33	1e-05
EIP@OSWGVHGFTN-2	AFB	LPS	49.29	-0.139746452188245	3/7/14 9:07	1/14/14	33	1e-05
EIP@OSWGVHGFTN-3	AFB	PAM3CSK4	47.98	-0.134054492489145	3/11/14 15:48	1/14/14	33	1e-05
EIP@OSWGVHGFTN-4	AFB	R848	48.69	-0.0977231348592914	3/7/14 9:07	1/14/14	33	1e-05
