condition	featureID	P_perm	E0	V0	obs	a_0	b_0	P_param	FDR
NS	(1.00836e+08,1.00838e+08]	0.3	0.00334653132681999	6.53458384449183e-06	0.00188122161204517	1.70476426389599	507.707548787997	0.337081504285735	0.795512350114335
NS	(1.00838e+08,1.0084e+08]	0.68	0.00307582427405557	5.33832937630881e-06	0.00428066561957949	1.76369330231898	571.641399178305	0.76137790153561	0.97951279247245
NS	(1.0084e+08,1.00842e+08]	0.92	0.00357280571717443	1.14499401597156e-05	0.00964426173795972	1.10729186799864	308.814924914152	0.938840234199249	0.994120895655551
NS	(1.00842e+08,1.00844e+08]	0.86	0.00353588727696397	1.30538537561557e-05	0.00614586825002071	0.95084062417725	267.960623372965	0.822230381834242	0.97951279247245
NS	(1.00844e+08,1.00846e+08]	0.48	0.00370391770810316	6.7174267601388e-06	0.00327725056148597	2.03103241895099	546.316036552816	0.526192668475188	0.955821825598158
NS	(1.00846e+08,1.00848e+08]	0.91	0.0037127499466494	8.980769734712e-06	0.00782209058285733	1.52548064051003	409.350733063758	0.904336905522383	0.994120895655551
NS	(1.00848e+08,1.0085e+08]	0	0.00346387138630768	8.48149265874305e-06	1.00319863524231e-21	1.40629317613774	404.582561287878	1.0973543186318e-26	6.47439047992761e-25
NS	(1.0085e+08,1.00852e+08]	0	0.00376945471310808	1.11381816528594e-05	2.57756924949588e-11	1.26710490245813	334.88361155312	5.29538866321916e-11	6.24855862259861e-10
NS	(1.00852e+08,1.00854e+08]	0	0.00407085426307598	1.64200118469706e-05	4.64242792003951e-19	1.00106805676581	244.909984531346	1.09276550331256e-16	3.22365823477206e-15
NS	(1.00854e+08,1.00856e+08]	0	0.00475158060051946	2.72241609766235e-05	2.78033894110958e-14	0.820626998560284	171.885482305483	5.47044901159399e-10	5.37927486140075e-09
NS	(1.00856e+08,1.00858e+08]	0.84	0.00316170885593445	1.10043538805359e-05	0.00518531156935885	0.90237052705079	284.503581813267	0.803145166653117	0.97951279247245
NS	(1.00858e+08,1.0086e+08]	0.99	0.0042211841915877	1.35602017340442e-05	0.0167848255244757	1.30425354176596	307.673863159509	0.989417242485388	0.994120895655551
NS	(1.0086e+08,1.00862e+08]	0.17	0.00516753042187283	1.92595078895489e-05	0.00121533998730572	1.37417094141622	264.549941590114	0.143674582173093	0.512042206701792
NS	(1.00862e+08,1.00864e+08]	0.51	0.00417061126410938	1.36298354134644e-05	0.0032585954145636	1.26667780220234	302.448466570726	0.514283651357609	0.955821825598158
NS	(1.00864e+08,1.00866e+08]	1	0.00308119606238077	8.20413391959485e-06	0.0146260625076533	1.15054660955242	372.258540724999	0.994120895655551	0.994120895655551
NS	(1.00866e+08,1.00868e+08]	0.87	0.00410441081197022	1.29824225522795e-05	0.00778958875548565	1.28818478785065	312.565580554974	0.863299410314702	0.97951279247245
NS	(1.00868e+08,1.0087e+08]	0.24	0.00449557317577478	1.68912156361334e-05	0.000910451167628574	1.1866159653454	262.7654806749	0.147537584981872	0.512042206701792
NS	(1.0087e+08,1.00872e+08]	0.23	0.00258657734123537	6.45943688592912e-06	0.00106605499135193	1.03048755414505	397.36763405504	0.331072104831161	0.795512350114335
NS	(1.00872e+08,1.00874e+08]	0.09	0.00482636360915549	1.64979566407992e-05	0.000393629013897499	1.40027863896372	288.730915850285	0.0359096464401103	0.182537403663925
NS	(1.00874e+08,1.00876e+08]	0.85	0.00298755918960223	6.66943534508803e-06	0.00546390411140827	1.3312849784058	444.278289231588	0.853555170928512	0.97951279247245
NS	(1.00876e+08,1.00878e+08]	0.72	0.00328404943570779	1.02807517450453e-05	0.00341020260885947	1.042316754181	316.345339731068	0.643125008379472	0.97951279247245
NS	(1.00878e+08,1.0088e+08]	0.35	0.00292911877028735	6.43507692700833e-06	0.00127892613025201	1.32644204484815	451.520352118444	0.296880881918913	0.795512350114335
NS	(1.0088e+08,1.00882e+08]	0.67	0.00291958779975004	1.11044400598475e-05	0.00270945188123503	0.762459515415501	260.390678431242	0.626365487418339	0.97951279247245
NS	(1.00882e+08,1.00884e+08]	0.25	0.00403073262260803	1.58055370767712e-05	0.00116809535345849	1.01974459797951	251.97262514142	0.246559388648006	0.727350196511618
